,GID_1,GID_0,COUNTRY,NAME_1,ENGTYPE_1,HASC_1,ISO_1,radiance,hasNA
0,UZB.1_1,UZB,Uzbekistan,Andijon,Region,UZ.AN,UZ-AN,77686.06,False
1,UZB.2_1,UZB,Uzbekistan,Buxoro,Region,UZ.BU,UZ-BU,435153.06,True
2,UZB.3_1,UZB,Uzbekistan,Farg'ona,Region,UZ.FA,UZ-FA,98608.47,False
3,UZB.4_1,UZB,Uzbekistan,Jizzax,Region,UZ.JI,UZ-JI,226288.53,False
4,UZB.8_1,UZB,Uzbekistan,Namangan,Region,UZ.NG,UZ-NG,107715.45,False
5,UZB.9_1,UZB,Uzbekistan,Navoiy,Region,UZ.NW,UZ-NW,1174860.2,True
6,UZB.5_1,UZB,Uzbekistan,Qaraqalpaqstan,AutononousRegion,UZ.QR,NA,1784213.8,True
7,UZB.6_1,UZB,Uzbekistan,Qashqadaryo,Region,UZ.QA,UZ-QA,337589.84,False
8,UZB.10_1,UZB,Uzbekistan,Samarqand',Region,UZ.SA,NA,169425.4,False
9,UZB.11_1,UZB,Uzbekistan,Sirdaryo,Region,UZ.SI,UZ-SI,65076.477,False
10,UZB.12_1,UZB,Uzbekistan,Surxondaryo,Region,UZ.SU,UZ-SU,213936.66,False
11,UZB.14_1,UZB,Uzbekistan,Toshkent,Region,UZ.TA,UZ-TK,193250.77,False
12,UZB.13_1,UZB,Uzbekistan,ToshkentShahri,City,UZ.TK,NA,10237.71,False
13,UZB.7_1,UZB,Uzbekistan,Xorazm,Region,UZ.KH,UZ-XO,91403.016,False
14,KAZ.1_1,KAZ,Kazakhstan,Almaty,Region,KZ.AA,KZ-ALA,2258357.0,True
15,KAZ.2_1,KAZ,Kazakhstan,Aqmola,Region,KZ.AM,NA,1758419.4,True
16,KAZ.3_1,KAZ,Kazakhstan,Aqtöbe,Region,KZ.AT,NA,3295487.2,True
17,KAZ.4_1,KAZ,Kazakhstan,Atyrau,Region,KZ.AR,NA,1146847.4,True
18,KAZ.5_1,KAZ,Kazakhstan,EastKazakhstan,Region,KZ.EK,NA,3295147.5,True
19,KAZ.6_1,KAZ,Kazakhstan,Mangghystau,Region,KZ.MG,NA,1599887.6,True
20,KAZ.7_1,KAZ,Kazakhstan,NorthKazakhstan,Region,KZ.NK,NA,1183237.9,True
21,KAZ.8_1,KAZ,Kazakhstan,Pavlodar,Region,KZ.PA,NA,1560349.9,True
22,KAZ.9_1,KAZ,Kazakhstan,Qaraghandy,Region,KZ.QG,NA,4758261.5,True
23,KAZ.10_1,KAZ,Kazakhstan,Qostanay,Region,KZ.QS,NA,2465047.0,True
24,KAZ.11_1,KAZ,Kazakhstan,Qyzylorda,Region,KZ.QO,NA,2518908.2,True
25,KAZ.12_1,KAZ,Kazakhstan,SouthKazakhstan,Region,KZ.SK,NA,1185817.2,True
26,KAZ.13_1,KAZ,Kazakhstan,WestKazakhstan,Region,KZ.WK,NA,1559410.8,True
27,KAZ.14_1,KAZ,Kazakhstan,Zhambyl,Region,KZ.ZM,NA,1434664.4,True
28,KGZ.1_1,KGZ,Kyrgyzstan,Batken,Province,KG.BA,KG-B,164545.45,False
29,KGZ.2_1,KGZ,Kyrgyzstan,Biškek,City,KG.GB,NA,5419.492,False
30,KGZ.3_1,KGZ,Kyrgyzstan,Chüy,Province,KG.CU,NA,216365.42,False
31,KGZ.4_1,KGZ,Kyrgyzstan,Jalal-Abad,Province,KG.DA,KG-J,347730.75,False
32,KGZ.5_1,KGZ,Kyrgyzstan,Naryn,Province,KG.NA,KG-N,455157.94,False
33,KGZ.7_1,KGZ,Kyrgyzstan,Osh,Province,KG.OS,NA,310298.88,False
34,KGZ.6_1,KGZ,Kyrgyzstan,Osh(city),City,KG.OS,NA,1672.6276,False
35,KGZ.8_1,KGZ,Kyrgyzstan,Talas,Province,KG.TL,KG-T,116494.77,False
36,KGZ.9_1,KGZ,Kyrgyzstan,Ysyk-Köl,Province,KG.YK,NA,432913.53,False
37,TJK.5_1,TJK,Tajikistan,DistrictsofRepublicanSubordin,DistrictsofRepublicanSubordin,TJ.RR,NA,288089.53,False
38,TJK.1_1,TJK,Tajikistan,Dushanbe,City,TJ.DU,TJ-DU,4575.6,False
39,TJK.2_1,TJK,Tajikistan,Gorno-Badakhshan,AutonomousRegion,TJ.BK,NA,640766.1,False
40,TJK.3_1,TJK,Tajikistan,Khatlon,Region,TJ.KL,TJ-KT,251428.66,False
41,TJK.4_1,TJK,Tajikistan,Sughd,Region,TJ.LE,TJ-SU,271092.4,False
42,TKM.1_1,TKM,Turkmenistan,Ahal,Province,TM.AL,TM-A,982050.9,True
43,TKM.2_1,TKM,Turkmenistan,Aşgabat,CaptialCityDistrict,TM.AB,NA,23977.049,False
44,TKM.3_1,TKM,Turkmenistan,Balkan,Province,TM.BA,TM-B,1300918.8,False
45,TKM.6_1,TKM,Turkmenistan,Daşoguz,Province,TM.DA,NA,832157.1,True
46,TKM.4_1,TKM,Turkmenistan,Lebap,Province,TM.LE,TM-L,1038942.1,True
47,TKM.5_1,TKM,Turkmenistan,Mary,Province,TM.MA,TM-M,938729.0,True
