,GID_1,GID_0,COUNTRY,NAME_1,ENGTYPE_1,HASC_1,ISO_1,radiance,hasNA
0,UZB.1_1,UZB,Uzbekistan,Andijon,Region,UZ.AN,UZ-AN,82021.41,False
1,UZB.2_1,UZB,Uzbekistan,Buxoro,Region,UZ.BU,UZ-BU,417085.72,True
2,UZB.3_1,UZB,Uzbekistan,Farg'ona,Region,UZ.FA,UZ-FA,99121.04,False
3,UZB.4_1,UZB,Uzbekistan,Jizzax,Region,UZ.JI,UZ-JI,218309.88,True
4,UZB.8_1,UZB,Uzbekistan,Namangan,Region,UZ.NG,UZ-NG,106750.055,False
5,UZB.9_1,UZB,Uzbekistan,Navoiy,Region,UZ.NW,UZ-NW,1114750.0,True
6,UZB.5_1,UZB,Uzbekistan,Qaraqalpaqstan,AutononousRegion,UZ.QR,NA,1786324.0,True
7,UZB.6_1,UZB,Uzbekistan,Qashqadaryo,Region,UZ.QA,UZ-QA,335811.12,True
8,UZB.10_1,UZB,Uzbekistan,Samarqand',Region,UZ.SA,NA,161983.88,True
9,UZB.11_1,UZB,Uzbekistan,Sirdaryo,Region,UZ.SI,UZ-SI,60560.574,False
10,UZB.12_1,UZB,Uzbekistan,Surxondaryo,Region,UZ.SU,UZ-SU,207716.19,False
11,UZB.14_1,UZB,Uzbekistan,Toshkent,Region,UZ.TA,UZ-TK,192861.86,False
12,UZB.13_1,UZB,Uzbekistan,ToshkentShahri,City,UZ.TK,NA,9871.329,False
13,UZB.7_1,UZB,Uzbekistan,Xorazm,Region,UZ.KH,UZ-XO,80831.85,True
14,KAZ.1_1,KAZ,Kazakhstan,Almaty,Region,KZ.AA,KZ-ALA,3047614.8,True
15,KAZ.2_1,KAZ,Kazakhstan,Aqmola,Region,KZ.AM,NA,12226884.0,False
16,KAZ.3_1,KAZ,Kazakhstan,Aqtöbe,Region,KZ.AT,NA,20945884.0,True
17,KAZ.4_1,KAZ,Kazakhstan,Atyrau,Region,KZ.AR,NA,4180119.0,True
18,KAZ.5_1,KAZ,Kazakhstan,EastKazakhstan,Region,KZ.EK,NA,19634940.0,True
19,KAZ.6_1,KAZ,Kazakhstan,Mangghystau,Region,KZ.MG,NA,1860214.1,True
20,KAZ.7_1,KAZ,Kazakhstan,NorthKazakhstan,Region,KZ.NK,NA,8620058.0,False
21,KAZ.8_1,KAZ,Kazakhstan,Pavlodar,Region,KZ.PA,NA,10472520.0,False
22,KAZ.9_1,KAZ,Kazakhstan,Qaraghandy,Region,KZ.QG,NA,30585324.0,True
23,KAZ.10_1,KAZ,Kazakhstan,Qostanay,Region,KZ.QS,NA,16661296.0,False
24,KAZ.11_1,KAZ,Kazakhstan,Qyzylorda,Region,KZ.QO,NA,9474923.0,True
25,KAZ.12_1,KAZ,Kazakhstan,SouthKazakhstan,Region,KZ.SK,NA,4153499.2,True
26,KAZ.13_1,KAZ,Kazakhstan,WestKazakhstan,Region,KZ.WK,NA,12170147.0,True
27,KAZ.14_1,KAZ,Kazakhstan,Zhambyl,Region,KZ.ZM,NA,9202644.0,True
28,KGZ.1_1,KGZ,Kyrgyzstan,Batken,Province,KG.BA,KG-B,178827.36,True
29,KGZ.2_1,KGZ,Kyrgyzstan,Biškek,City,KG.GB,NA,6287.147,False
30,KGZ.3_1,KGZ,Kyrgyzstan,Chüy,Province,KG.CU,NA,688046.44,True
31,KGZ.4_1,KGZ,Kyrgyzstan,Jalal-Abad,Province,KG.DA,KG-J,1132197.2,True
32,KGZ.5_1,KGZ,Kyrgyzstan,Naryn,Province,KG.NA,KG-N,621264.8,True
33,KGZ.7_1,KGZ,Kyrgyzstan,Osh,Province,KG.OS,NA,362465.62,True
34,KGZ.6_1,KGZ,Kyrgyzstan,Osh(city),City,KG.OS,NA,1677.8901,False
35,KGZ.8_1,KGZ,Kyrgyzstan,Talas,Province,KG.TL,KG-T,779958.25,False
36,KGZ.9_1,KGZ,Kyrgyzstan,Ysyk-Köl,Province,KG.YK,NA,526628.56,True
37,TJK.5_1,TJK,Tajikistan,DistrictsofRepublicanSubordin,DistrictsofRepublicanSubordin,TJ.RR,NA,315121.03,False
38,TJK.1_1,TJK,Tajikistan,Dushanbe,City,TJ.DU,TJ-DU,4469.6743,False
39,TJK.2_1,TJK,Tajikistan,Gorno-Badakhshan,AutonomousRegion,TJ.BK,NA,690573.3,True
40,TJK.3_1,TJK,Tajikistan,Khatlon,Region,TJ.KL,TJ-KT,262467.06,False
41,TJK.4_1,TJK,Tajikistan,Sughd,Region,TJ.LE,TJ-SU,279614.28,True
42,TKM.1_1,TKM,Turkmenistan,Ahal,Province,TM.AL,TM-A,1003900.3,True
43,TKM.2_1,TKM,Turkmenistan,Aşgabat,CaptialCityDistrict,TM.AB,NA,24800.605,False
44,TKM.3_1,TKM,Turkmenistan,Balkan,Province,TM.BA,TM-B,1519894.2,True
45,TKM.6_1,TKM,Turkmenistan,Daşoguz,Province,TM.DA,NA,820849.4,True
46,TKM.4_1,TKM,Turkmenistan,Lebap,Province,TM.LE,TM-L,973940.6,True
47,TKM.5_1,TKM,Turkmenistan,Mary,Province,TM.MA,TM-M,879400.0,True
