COUNTRY,NAME_1,HASC_1,radiance_control,radiance_treat,radiance_delta
Uzbekistan,Andijon,UZ.AN,76753.86,80210.63,4.503708347697437
Uzbekistan,Buxoro,UZ.BU,487310.66,454281.78,-6.777787294864419
Uzbekistan,Farg'ona,UZ.FA,100208.21,100672.54,0.46336522726030843
Uzbekistan,Jizzax,UZ.JI,243771.72,230619.84,-5.395162326458543
Uzbekistan,Namangan,UZ.NG,108379.76,105767.82,-2.4099887285227313
Uzbekistan,Navoiy,UZ.NW,1279778.5,1178772.8,-7.892436073898722
Uzbekistan,Qaraqalpaqstan,UZ.QR,5765113.0,1807461.8,-68.64828495122299
Uzbekistan,Qashqadaryo,UZ.QA,346404.16,345071.84,-0.38461431871948326
Uzbekistan,Samarqand',UZ.SA,178290.48,182168.84,2.1753040319370873
Uzbekistan,Sirdaryo,UZ.SI,65159.95,65801.2,0.9841167772535124
Uzbekistan,Surxondaryo,UZ.SU,238272.73,180631.31,-24.191362561716574
Uzbekistan,Toshkent,UZ.TA,211072.48,204805.28,-2.9692170196702157
Uzbekistan,ToshkentShahri,UZ.TK,10083.492,10199.724,1.1526959112973956
Uzbekistan,Xorazm,UZ.KH,91973.664,89134.18,-3.087279419465132
Kazakhstan,Almaty,KZ.AA,12718141.0,4106234.8,-67.71356128226601
Kazakhstan,Aqmola,KZ.AM,12226884.0,12226884.0,0.0
Kazakhstan,Aqtöbe,KZ.AT,17899558.0,5266354.5,-70.5782986373183
Kazakhstan,Atyrau,KZ.AR,8948846.0,6875661.0,-23.167065340044964
Kazakhstan,EastKazakhstan,KZ.EK,19558692.0,10005928.0,-48.84152784859028
Kazakhstan,Mangghystau,KZ.MG,8677804.0,2326206.5,-73.1936040500569
Kazakhstan,NorthKazakhstan,KZ.NK,8620058.0,8620058.0,0.0
Kazakhstan,Pavlodar,KZ.PA,10472520.0,10472520.0,0.0
Kazakhstan,Qaraghandy,KZ.QG,27636398.0,14868320.0,-46.200224790509964
Kazakhstan,Qostanay,KZ.QS,16635450.0,11335546.0,-31.859096086970894
Kazakhstan,Qyzylorda,KZ.QO,3055512.2,2694586.2,-11.812291242037913
Kazakhstan,SouthKazakhstan,KZ.SK,1470714.8,1257237.6,-14.515200363795886
Kazakhstan,WestKazakhstan,KZ.WK,12358959.0,12091499.0,-2.1640981250928983
Kazakhstan,Zhambyl,KZ.ZM,1901657.1,1521322.8,-20.000151446861793
Kyrgyzstan,Batken,KG.BA,191430.86,159378.95,-16.743334904309563
Kyrgyzstan,Biškek,KG.GB,4660.8765,4141.024,-11.153535177342714
Kyrgyzstan,Chüy,KG.CU,240532.27,212710.7,-11.566668372605465
Kyrgyzstan,Jalal-Abad,KG.DA,395447.47,341686.1,-13.595072437813297
Kyrgyzstan,Naryn,KG.NA,527288.3,381910.53,-27.57083174422797
Kyrgyzstan,Osh,KG.OS,336114.6,285718.0,-14.993874113174488
Kyrgyzstan,Osh(city),KG.OS,1676.0532,1276.6044,-23.832704117029227
Kyrgyzstan,Talas,KG.TL,139002.42,117036.04,-15.802875949929518
Kyrgyzstan,Ysyk-Köl,KG.YK,514455.6,389339.66,-24.32006571606957
Tajikistan,DistrictsofRepublicanSubordin,TJ.RR,341047.4,258247.81,-24.27802997471906
Tajikistan,Dushanbe,TJ.DU,2436.0107,4694.4067,92.70878818389427
Tajikistan,Gorno-Badakhshan,TJ.BK,713199.8,491795.84,-31.04374959162916
Tajikistan,Khatlon,TJ.KL,288642.97,223869.62,-22.44064700415187
Tajikistan,Sughd,TJ.LE,313654.2,250122.52,-20.255325769589575
Turkmenistan,Ahal,TM.AL,866561.9,1028396.56,18.675487579133126
Turkmenistan,Aşgabat,TM.AB,25020.219,26065.07,4.176026596729624
Turkmenistan,Balkan,TM.BA,1304699.9,1500510.4,15.00808730038226
Turkmenistan,Daşoguz,TM.DA,1381990.9,812897.75,-41.17922556508874
Turkmenistan,Lebap,TM.LE,1087315.6,971469.25,-10.654344515980464
Turkmenistan,Mary,TM.MA,899870.75,880579.5,-2.143780092863336
