Year;COUNTRY;NAME_1;HASC_1;radiance_control;radiance_treat;radiance_delta
2015;Tajikistan;DistrictsofRepublicanSubordin;TJ.RR;323 084,25;386 277,78;16,36
2015;Tajikistan;Dushanbe;TJ.DU;4 567,03;3 289,25;-38,85
2015;Tajikistan;Gorno-Badakhshan;TJ.BK;729 326,00;751 858,25;3,00
2015;Tajikistan;Khatlon;TJ.KL;278 869,88;327 783,53;14,92
2015;Tajikistan;Sughd;TJ.LE;286 297,84;361 839,75;20,88
2016;Tajikistan;DistrictsofRepublicanSubordin;TJ.RR;306 250,62;277 649,72;-10,30
2016;Tajikistan;Dushanbe;TJ.DU;3 778,19;4 298,48;12,10
2016;Tajikistan;Gorno-Badakhshan;TJ.BK;607 906,40;556 842,75;-9,17
2016;Tajikistan;Khatlon;TJ.KL;255 372,45;242 135,12;-5,47
2016;Tajikistan;Sughd;TJ.LE;298 313,60;240 420,58;-24,08
2017;Tajikistan;DistrictsofRepublicanSubordin;TJ.RR;340 790,47;261 096,95;-30,52
2017;Tajikistan;Dushanbe;TJ.DU;2 488,37;4 320,04;42,40
2017;Tajikistan;Gorno-Badakhshan;TJ.BK;669 966,20;517 389,50;-29,49
2017;Tajikistan;Khatlon;TJ.KL;274 916,94;233 207,12;-17,89
2017;Tajikistan;Sughd;TJ.LE;327 978,90;226 590,36;-44,75
2018;Tajikistan;DistrictsofRepublicanSubordin;TJ.RR;268 446,70;261 984,00;-2,47
2018;Tajikistan;Dushanbe;TJ.DU;2 725,93;4 364,17;37,54
2018;Tajikistan;Gorno-Badakhshan;TJ.BK;568 747,80;553 649,60;-2,73
2018;Tajikistan;Khatlon;TJ.KL;214 605,80;213 431,77;-0,55
2018;Tajikistan;Sughd;TJ.LE;251 868,05;234 052,77;-7,61
2019;Tajikistan;DistrictsofRepublicanSubordin;TJ.RR;261 077,14;345 359,88;24,40
2019;Tajikistan;Dushanbe;TJ.DU;4 778,23;3 520,32;-35,73
2019;Tajikistan;Gorno-Badakhshan;TJ.BK;481 152,66;689 533,90;30,22
2019;Tajikistan;Khatlon;TJ.KL;232 041,66;293 254,56;20,87
2019;Tajikistan;Sughd;TJ.LE;246 494,78;321 844,12;23,41
2020;Tajikistan;DistrictsofRepublicanSubordin;TJ.RR;164 923,66;193 030,81;14,56
2020;Tajikistan;Dushanbe;TJ.DU;4 255,00;4 538,55;6,25
2020;Tajikistan;Gorno-Badakhshan;TJ.BK;293 235,25;420 434,10;30,25
2020;Tajikistan;Khatlon;TJ.KL;148 176,64;164 404,60;9,87
2020;Tajikistan;Sughd;TJ.LE;152 312,78;160 970,05;5,38
2021;Tajikistan;DistrictsofRepublicanSubordin;TJ.RR;238 985,50;278 416,10;14,16
2021;Tajikistan;Dushanbe;TJ.DU;3 647,05;4 840,76;24,66
2021;Tajikistan;Gorno-Badakhshan;TJ.BK;456 449,78;524 998,56;13,06
2021;Tajikistan;Khatlon;TJ.KL;174 192,86;244 968,77;28,89
2021;Tajikistan;Sughd;TJ.LE;238 669,34;290 586,78;17,87
2022;Tajikistan;DistrictsofRepublicanSubordin;TJ.RR;325 017,40;278 471,90;-16,71
2022;Tajikistan;Dushanbe;TJ.DU;4 264,60;2 809,15;-51,81
2022;Tajikistan;Gorno-Badakhshan;TJ.BK;699 154,25;543 469,90;-28,65
2022;Tajikistan;Khatlon;TJ.KL;257 031,75;260 673,64;1,40
2022;Tajikistan;Sughd;TJ.LE;292 071,30;285 017,50;-2,47
2023;Tajikistan;DistrictsofRepublicanSubordin;TJ.RR;295 671,25;368 795,20;19,83
2023;Tajikistan;Dushanbe;TJ.DU;4 726,84;5 047,26;6,35
2023;Tajikistan;Gorno-Badakhshan;TJ.BK;562 387,80;858 981,00;34,53
2023;Tajikistan;Khatlon;TJ.KL;226 239,56;304 903,10;25,80
2023;Tajikistan;Sughd;TJ.LE;289 432,56;331 174,47;12,60
2024;Tajikistan;DistrictsofRepublicanSubordin;TJ.RR;345 753,34;349 300,66;1,02
2024;Tajikistan;Dushanbe;TJ.DU;5 078,50;4 784,80;-6,14
2024;Tajikistan;Gorno-Badakhshan;TJ.BK;673 075,80;667 567,30;-0,83
2024;Tajikistan;Khatlon;TJ.KL;271 864,53;290 038,94;6,27
2024;Tajikistan;Sughd;TJ.LE;318 360,90;334 077,34;4,70
2012;Tajikistan;DistrictsofRepublicanSubordin;TJ.RR;283 860,90;288 089,53;1,47
2012;Tajikistan;Dushanbe;TJ.DU;4 549,42;4 575,60;0,57
2012;Tajikistan;Gorno-Badakhshan;TJ.BK;637 530,06;640 766,10;0,51
2012;Tajikistan;Khatlon;TJ.KL;246 591,48;251 428,66;1,92
2012;Tajikistan;Sughd;TJ.LE;277 150,78;271 092,40;-2,23
2013;Tajikistan;DistrictsofRepublicanSubordin;TJ.RR;315 121,03;324 842,50;2,99
2013;Tajikistan;Dushanbe;TJ.DU;4 469,67;4 500,53;0,69
2013;Tajikistan;Gorno-Badakhshan;TJ.BK;690 573,30;680 878,00;-1,42
2013;Tajikistan;Khatlon;TJ.KL;262 467,06;278 041,97;5,60
2013;Tajikistan;Sughd;TJ.LE;279 614,28;314 367,44;11,05
2014;Tajikistan;DistrictsofRepublicanSubordin;TJ.RR;341 047,40;258 247,81;-32,06
2014;Tajikistan;Dushanbe;TJ.DU;2 436,01;4 694,41;48,11
2014;Tajikistan;Gorno-Badakhshan;TJ.BK;713 199,80;491 795,84;-45,02
2014;Tajikistan;Khatlon;TJ.KL;288 642,97;223 869,62;-28,93
2014;Tajikistan;Sughd;TJ.LE;313 654,20;250 122,52;-25,40
